"Date_Time","Low_Range","Full_Range","Temp_C","station"
2023-05-26 01:14:55,101.4,102.1,18.69,3
2023-05-26 01:15:00,101.4,102.5,18.69,3
2023-05-26 01:15:05,101.4,102.5,18.69,3
2023-05-26 01:15:10,101.4,102.5,18.69,3
2023-05-26 01:15:15,101.4,102.5,18.7,3
2023-05-26 01:15:20,101.4,102.5,18.69,3
2023-05-26 01:15:25,101.4,102.5,18.69,3
2023-05-26 01:15:30,101.4,102.5,18.69,3
2023-05-26 01:15:35,101.4,102.5,18.7,3
2023-05-26 01:15:40,101.4,102.5,18.69,3
2023-05-26 01:15:45,101.4,102.1,18.69,3
2023-05-26 01:15:50,101.4,102.1,18.7,3
2023-05-26 01:15:55,101.4,102.5,18.69,3
2023-05-26 01:16:00,101.4,102.5,18.7,3
2023-05-26 01:16:05,101.4,102.5,18.69,3
2023-05-26 01:16:10,101.4,102.5,18.69,3
2023-05-26 01:16:15,101.4,102.5,18.69,3
2023-05-26 01:16:20,101.4,102.1,18.69,3
2023-05-26 01:16:25,101.4,102.5,18.69,3
2023-05-26 01:16:30,101.4,102.5,18.69,3
2023-05-26 01:16:35,101.4,102.5,18.69,3
2023-05-26 01:16:40,101.4,102.5,18.69,3
2023-05-26 01:16:45,101.4,102.5,18.69,3
2023-05-26 01:16:50,101.4,102.5,18.69,3
2023-05-26 01:16:55,101.4,102.1,18.69,3
2023-05-26 01:17:00,101.4,102.5,18.69,3
2023-05-26 01:17:05,101.4,102.5,18.69,3
2023-05-26 01:17:10,101.4,102.5,18.69,3
2023-05-26 01:17:15,101.4,102.1,18.69,3
2023-05-26 01:17:20,101.4,102.5,18.69,3
2023-05-26 01:17:25,101.4,102.5,18.69,3
2023-05-26 01:17:30,101.4,102.5,18.69,3
2023-05-26 01:17:35,101.4,102.5,18.69,3
2023-05-26 01:17:40,101.4,102.1,18.69,3
2023-05-26 01:17:45,101.4,102.5,18.68,3
2023-05-26 01:17:50,101.4,102.5,18.69,3
2023-05-26 01:17:55,101.4,102.1,18.69,3
2023-05-26 01:18:00,101.4,102.5,18.68,3
2023-05-26 01:18:05,101.4,102.5,18.69,3
2023-05-26 01:18:10,101.4,102.1,18.69,3
2023-05-26 01:18:15,101.4,102.5,18.68,3
2023-05-26 01:18:20,101.4,102.5,18.69,3
2023-05-26 01:18:25,101.4,102.1,18.68,3
2023-05-26 01:18:30,101.4,102.5,18.68,3
2023-05-26 01:18:35,101.4,102.5,18.68,3
2023-05-26 01:18:40,101.4,102.1,18.69,3
2023-05-26 01:18:45,101.4,102.5,18.68,3
2023-05-26 01:18:50,101.4,102.5,18.69,3
2023-05-26 01:18:55,101.4,102.5,18.68,3
2023-05-26 01:19:00,101.4,102.5,18.69,3
2023-05-26 01:19:05,101.4,102.5,18.69,3
2023-05-26 01:19:10,101.4,102.5,18.68,3
2023-05-26 01:19:15,101.4,102.5,18.68,3
2023-05-26 01:19:20,101.4,102.5,18.68,3
2023-05-26 01:19:25,101.4,102.5,18.68,3
2023-05-26 01:19:30,101.4,102.5,18.68,3
